idMso	Exists in Office Word 2010	Type in Office Word 2010	Label in Office Word 2010	Exists in Office Word 2013	Type in Office Word 2013	Label in Office Word 2013
IndentDecreaseWord	1	button	Decrease Indent	1	button	Decrease Indent
IndentIncrease	1	button	Increase Indent	1	button	Increase Indent
IndentIncreaseWord	1	button	Increase Indent	1	button	Increase Indent
IndentLabel	1	labelControl	Indent	1	labelControl	Indent
IndexAndTables	1	button	Index and Tables	1	button	Index and Tables
IndexInsert	1	button	Insert Index	1	button	Insert Index
IndexMarkEntry	1	button	Mark Entry	1	button	Mark Entry
IndexUpdate	1	button	Update Index	1	button	Update Index
InkBallpointPen	1	toggleButton	Ballpoint Pen	1	toggleButton	Pen
InkColorMoreColorsDialog	1	button	More Ink Colors	1	button	More Ink Colors
InkColorPicker	0			1	gallery	Color
InkCopyAsText	1	button	Copy Ink As Text	1	button	Copy Ink As Text
InkDeleteAllInk	0			1	button	Delete All Ink
InkDrawingAndWriting	1	button	Ink Drawing and Writing	1	button	Ink Drawing and Writing
InkEraser	1	toggleButton	Eraser	1	toggleButton	Stroke Eraser
InkFeltTipPen	1	toggleButton	Felt Tip Pen	1	toggleButton	Felt Tip Pen
InkHighlighter	1	toggleButton	Highlighter	1	toggleButton	Highlighter
InkStopInkingReadingView	0			1	button	Stop Inking
InkToolsClose	1	button	Close Ink Tools	1	button	Close Ink Tools
InkToolsSelect	1	toggleButton	Select & Type	0		
InkingStart	1	button	Start Inking	1	button	Start Inking
InsertAlignmentTab	1	button	Insert Alignment Tab	1	button	Insert Alignment Tab
InsertBuildingBlocksEquationsGallery	0			1	gallery	Equation
InsertCaptionNumbering	1	button	Insert Caption Numbering	1	button	Insert Caption Numbering
InsertEmSpace	1	button	Insert Em Space	1	button	Insert Em Space
InsertEnSpace	1	button	Insert En Space	1	button	Insert En Space
InsertNumberAlternate	0			1	button	Number
Italic	1	toggleButton	Italic	1	toggleButton	Italic
ItalicRun	1	button	Italic Run	1	button	Italic Run
JapaneseGreetingsInsertMenu	1	menu	Japanese Greetings	1	menu	Japanese Greetings
JapanesePostcardCreateAddressSide	1	button	Create Address Side	1	button	Create Address Side
JapanesePostcardCreateLetterSide	1	button	Create Design Side	1	button	Create Design Side
JapanesePostcardDialog	1	button	Japanese Postcard	1	button	Japanese Postcard
JapanesePostcardMenu	1	menu	Japanese Postcard	1	menu	Japanese Postcard
JotLineColor	1	gallery	Line Color	0		
KeepBackgroundRemoval	0			1	button	Keep Changes
KeyboardCustomization	1	button	Customize Keyboard	1	button	Customize Keyboard
KeyboardCustomizationWord	1	button	Tools Customize Keyboard Shortcut	1	button	Tools Customize Keyboard Shortcut
LabelInsert	1	button	Label	1	button	Label
LabelOptions	1	button	Label Options	1	button	Label Options
LabelSketchModeDescription	1	labelControl	Faster Rendering Mode with Reduced Effects	0		
LabelsDialog	1	button	Labels	1	button	Labels
LanguageCommands	0			1	menu	Language
LanguagePreferences	0			1	button	Language Preferences
LaunchTextEffectsDlg	1	button	Text Effects	0		
LayoutOptionsDialog	1	button	More Layout Options	1	button	More Layout Options
LayoutOptionsDialogPosition	1	button	Advanced Layout	1	button	More Layout Options
LayoutOptionsDialogSize	1	button	Advanced Layout	1	button	Size and Position
LayoutOptionsDialogWrapping	1	button	Advanced Layout	1	button	More Layout Options
LeaveReader	1	button	Enable Editing	1	button	Enable Editing
LeftToRightRun	1	button	Ltr Run	1	button	Ltr Run
LigatureGalleryWord	0			1	gallery	Ligatures
LineDown	1	button	Line Down	1	button	Line Down
LineDownExtend	1	button	Line Down Extend	1	button	Line Down Extend
LineNumbersContinuous	1	toggleButton	Continuous	1	toggleButton	Continuous
LineNumbersMenu	1	menu	Line Numbers	1	menu	Line Numbers
LineNumbersOff	1	toggleButton	None	1	toggleButton	None
LineNumbersOptionsDialog	1	button	Line Numbering Options	1	button	Line Numbering Options
LineNumbersResetPage	1	toggleButton	Restart Each Page	1	toggleButton	Restart Each Page
LineNumbersResetSection	1	toggleButton	Restart Each Section	1	toggleButton	Restart Each Section
LineNumbersSuppress	1	toggleButton	Suppress for Current Paragraph	1	toggleButton	Suppress for Current Paragraph
LineSpacingGallery	0			1	gallery	Line and Paragraph Spacing
LineSpacingGalleryPowerPoint	1	gallery	Line Spacing	0		
