idMso	Exists in Office 2010	Exists in Office 2013
AutoPreview	1	1
AutoScheduleBorderColor	1	0
AutoScheduleFillColor	1	0
AutoScheduleSelectedTask	1	1
AutoScheduleTask	1	0
AutoScheduleTaskToNearestWorkingDay	1	1
AutoScheduleTaskToSuggestedStartDate	1	1
AutoSigInsertPictureFromFile	1	1
AutoSigWebInsertHyperlink	1	1
AutoSizePage	0	1
AutoSum	1	1
AutoSumMenu	1	1
AutoSummarize	1	1
AutoSummaryResummarize	1	1
AutoSummaryToolsMenu	1	1
AutoSummaryViewByHighlight	1	1
AutoTextGallery	1	1
AutoThumbnail	1	1
AutocompleteControl	0	1
AutomaticFormatting	1	1
AutomaticResize	0	1
B	1	1
BackAttach	1	1
BackgroundImageGallery	1	1
BackgroundPageInsert	0	1
BackgroundRemovalClose	0	1
BackgroundSound	1	1
BackgroundsGallery	0	1
Backspace	0	1
BackupSite	1	1
BackupWebSite	1	1
BarFormat	1	1
BarStylesFormat	0	1
BarcodeInsert	1	1
Baseline	1	1
BaselineClear	1	1
BaselineSave	1	1
BeforeChange	0	1
BeforeDelete	0	1
BehaviorsTaskPane	1	1
BehindText	1	1
BestFit	1	1
Bevel	1	1
BevelShapeGallery	1	1
BevelTextGallery	1	1
BibliographyAddNewPlaceholder	1	1
BibliographyAddNewSource	1	1
BibliographyGallery	1	1
BibliographyInsert	1	1
BibliographyManageSources	1	1
BibliographyStyle	1	1
BindingMenu	1	0
BizBarPublishToSharePoint	1	1
BlackAndWhite	1	1
BlackAndWhiteAutomatic	1	1
BlackAndWhiteBlack	1	1
BlackAndWhiteBlackWithGrayscaleFill	1	1
BlackAndWhiteBlackWithWhiteFill	1	1
BlackAndWhiteDontShow	1	1
BlackAndWhiteGrayWithWhiteFill	1	1
BlackAndWhiteGrayscale	1	1
BlackAndWhiteInverseGrayscale	1	1
BlackAndWhiteLightGrayscale	1	1
BlackAndWhiteWhite	1	1
BlankPageInsert	1	1
BlankPageInsertMenu	0	1
BlankPageInsertVisio	0	1
BlankRowInsert	1	1
BlockAuthorsMenu	0	1
BlogCategories	1	1
BlogCategoriesRefresh	1	1
BlogCategoryInsert	1	1
BlogHomePage	1	1
BlogInsertCategories	1	1
BlogManageAccounts	1	1
BlogOpenExisting	1	1
BlogPublish	1	1
BlogPublishDraft	1	1
BlogPublishMenu	1	1
BodyTextHide	1	1
Bold	1	1
BookmarkInsert	1	1
BookmarkInsertPublisher	0	1
BookmarkProperties	1	0
BorderBottom	1	1
BorderBottomNoToggle	1	1
BorderBottomWord	1	1
BorderColor	1	1
BorderColorPicker	1	1
BorderColorPickerExcel	1	1
BorderDiagonalDown	1	1
BorderDiagonalUp	1	1
BorderDoubleBottom	1	1
BorderDrawGrid	1	1
BorderDrawLine	1	1
BorderDrawMenu	1	1
BorderErase	1	1
BorderInside	1	1
BorderInsideHorizontal	1	1
BorderInsideVertical	1	1
BorderLeft	1	1
BorderLeftNoToggle	1	1
BorderLeftWord	1	1
BorderMoreColorsDialog	1	1
BorderNone	1	1
BorderOutside	1	1
BorderRight	1	1
BorderRightNoToggle	1	1
BorderRightWord	1	1
BorderStyle	1	1
BorderStylesGallery	0	1
BorderThickBottom	1	1
BorderThickOutside	1	1
BorderTop	1	1
BorderTopAndBottom	1	1
BorderTopAndDoubleBottom	1	1
BorderTopAndThickBottom	1	1
BorderTopNoToggle	1	1
BorderTopWord	1	1
BordersAll	1	1
BordersAndShadingDialog	0	1
BordersAndShadingInfoPath	0	1
BordersAndTitlesGallery	0	1
BordersDiagonalPublisher	0	1
BordersGallery	1	1
BordersMoreDialog	1	1
BordersSelectionGallery	0	1
BordersShadingDialog	1	1
BordersShadingDialogSpd	1	1
BordersShadingDialogWord	1	1
BordersShortGallery	1	1
BotProperties	1	0
BottomJustify	1	0
BottomVerticalAlign	0	1
BoundariesShowHide	0	1
Break	1	1
BreakInsertDialog	1	1
BreakProperties	1	0
Breakpoint	1	1
BreaksGallery	1	1
BrightnessAndContrastEdit	0	1
BrightnessLess	1	1
BrightnessMore	1	1
BringForwardFlyout	1	0
BroadcastEdit	0	1
BroadcastEnd	0	1
BroadcastFromBeginning	1	1
BroadcastFromCurrent	1	1
BroadcastNotes	0	1
BroadcastNotesSplitButton	0	1
BroadcastResume	0	1
BroadcastSendInvitation	1	1
BroadcastSlideShow	1	1
BroadcastSlideShowBackstage	0	1
BroadcastSlideShowGeneric	0	1
BroadcastSlideShowLync	0	1
BroadcastSlideShowOfficeHosted	0	1
BrowseBackgroundImage	1	1
BrowseNext	1	1
BrowsePrevious	1	1
BrowseSelector	1	1
BrowseSharedImage	1	0
BuildHyperlink	0	1
BuildOrderChangeGallery	0	1
BuildTeam	0	1
BuildingBlockLibrary	1	1
BuildingBlockProperties	1	1
BuildingBlocksCreateIndex	1	1
BuildingBlocksCreateLayout	1	1
BuildingBlocksCreateNewFromSel	1	1
BuildingBlocksCreateTableOfAuthorities	1	1
BuildingBlocksCreateTableOfFigures	1	1
BuildingBlocksOrganizer	1	1
BuildingBlocksSaveCoverPage	1	1
BuildingBlocksSaveEquation	1	1
BuildingBlocksSaveFooter	1	1
BuildingBlocksSaveHeader	1	1
BuildingBlocksSaveIndex	1	1
BuildingBlocksSavePageNum	1	1
BuildingBlocksSavePageNumBottom	1	1
BuildingBlocksSavePageNumTop	1	1
BuildingBlocksSaveTableOfAuthorities	1	1
BuildingBlocksSaveTableOfContents	1	1
BuildingBlocksSaveTableOfFigures	1	1
BulletListDefault	1	1
Bullets	1	1
BulletsAndNumberingBulletsDialog	1	1
BulletsAndNumberingDialog	1	1
BulletsAndNumberingNumberingDialog	1	1
BulletsAndNumberingNumberingDialogPublisher	1	1
BulletsGallery	1	1
BulletsGalleryWord	1	1
BulletsMenu	0	1
BullettedListControl	1	1
BusinessCardInsertMenu	1	1
BusinessDataCatalogEntityList	1	1
BusinessDataEntities	1	1
BusinessDataEntityActions	1	0
BusinessDataPrimaryField	1	1
BusinessDataSyncWithLocalCache	0	1
BusinessFormWizard	1	1
BusinessInfoGallery	1	1
BusyUI	0	1
ButtonAddinDisabled	0	1
ButtonTaskContactMicrosoft	1	0
ButtonTaskOfficeDiagnostic	1	1
ButtonTaskOfficeOnline	1	0
ButtonTaskOfficeUpgrade	1	1
ButtonTaskProductUpdates	1	0
ButtonTaskSelfSupport	1	1
ButtonTaskSystemInformation	1	0
C	1	1
CDAudioPlayTrackAutomatically	1	1
CDAudioStartTime	1	1
CDAudioStartTrack	1	1
CDAudioStopTime	1	1
CDAudioStopTrack	1	1
CLViewDialogHelpID	1	1
CacheListData	1	1
CacheSettings	1	1
CacheStatus	1	0
CachedModeStatus	1	0
CadDrawing	0	1
CalculateFull	1	1
CalculateNow	1	1
CalculateProject	1	0
CalculateSheet	1	1
CalculatedCurrency	0	1
CalculatedDateTime	0	1
CalculatedNumber	0	1
CalculatedText	0	1
CalculatedYesNo	0	1
CalculationOptionsMenu	1	1
Calculator	1	1
CalendarAddon	1	0
CalendarBarSplitsShow	1	0
CalendarConfigure	1	1
CalendarDetailsHigh	1	0
CalendarDetailsLow	1	0
CalendarDetailsMedium	1	0
CalendarHorizontal	1	1
CalendarImport	1	1
CalendarInsert	1	1
CalendarMonthDetailsSplitButton	1	1
CalendarNewItemMenu	1	1
CalendarOpen	0	1
CalendarPageSetupFonts	1	0
CalendarShareMenu	1	1
CalendarToolExportAllAppointments	1	1
CalendarToolExportSelectedAppointment	1	1
CalendarToolImport	1	1
CalendarToolNewAppointment	1	1
CalendarToolSelectDate	1	1
CalendarToolToday	1	1
CalendarView	1	0
CalendarViewDateBoxes	1	0
CalendarViewFormatBarStyles	1	1
CalendarViewGallery	1	1
CalendarViewLayout	1	0
CalendarViewLayoutNow	0	1
CalendarViewTaskList	1	1
CalendarViewTimescale	1	0
CalendarViewWeekHeadings	1	0
CalendarViewWeekHeightBestFit	0	1
CalendarViewZoom	1	1
CalendarsGallery	1	1
Call	1	1
Callout	1	1
CalloutGallery	0	1
CalloutOptions	1	1
Camera	1	1
CancelAcceptTask	1	1
CancelAll	1	1
CancelAllInvitation	1	1
CancelDeclineTask	1	1
CancelEditing	1	1
CancelInvitation	1	1
CancelMeeting	1	1
CancelRequest	1	1
CancelTaskAssignment	1	1
CaptionInsert	1	1
CaptionProperties	1	0
CaptionProperties2	1	1
CatalogMergeCreateList	1	1
CatalogMergeEditList	1	1
CatalogMergeExcludeSelectedRecord	1	1
CatalogMergeFillOrderMenu	0	1
CatalogMergeFindRecipient	1	1
CatalogMergeGoToFirstRecord	1	1
CatalogMergeGoToLastRecord	0	1
CatalogMergeGoToNextRecord	1	1
CatalogMergeGoToPreviousRecord	1	1
CatalogMergeGotToLastRecord	1	0
CatalogMergeInsertCatalogPages	1	0
CatalogMergeInsertPictureFieldsGallery	1	1
CatalogMergeInsertTextFieldsGallery	1	1
CatalogMergeMergeToExistingPublication	1	1
CatalogMergeMergeToNewPublication	1	1
CatalogMergeMergeToPrinter	1	1
CatalogMergeMorePictureOptions	1	1
CatalogMergeMoreRowsCols	1	0
CatalogMergeMoreRowsColumns	0	1
CatalogMergeOpenDataSource	1	1
CatalogMergePickCatalogPageLayout	1	1
CatalogMergePickLayoutCanvases	1	1
CatalogMergeResultsPreview	1	1
CatalogMergeRowsColsGallery	1	0
CatalogMergeRowsColumnsGallery	0	1
CatalogMergeSelectRecipients	1	1
CatalogMergeUseOutlookContacts	1	1
CatalogPagesInsert	0	1
CategorizeGallery	0	1
CategorizeMenu	1	1
CategoryCollapse	1	1
CellAlignmentOptions	1	1
CellDiagonalsGallery	1	1
CellFillColorPicker	1	1
CellHeight	1	1
CellPadding	1	1
CellProperties	1	1
CellProperties2	1	0
CellStyleNew	1	1
CellStylesGallery	1	1
CellStylesMerge	1	1
CellWidth	1	1
CellsDelete	1	1
CellsDeleteSmart	1	1
CellsInsertDialog	1	1
CellsInsertSmart	1	1
CenterDrawing	1	0
CenteredVertical	1	0
ChangeBinding	1	1
ChangeCase	1	1
ChangeCaseDialogClassic	1	1
ChangeCaseGallery	1	1
ChangeCaseGalleryPublisher	1	1
ChangeConnectedSystem	1	1
ChangeControlTypeMenu	1	1
ChangeFolderDownloadSettings	0	1
ChangeFormView	0	1
ChangePassword	1	0
ChangePictureFileType	1	1
ChangePictureFromScanner	1	1
ChangePrinter	1	1
ChangeResponseButtonMenu	1	1
ChangeStylesMenu	1	1
ChangeTemplate	1	0
ChangeToAcceptInvitation	1	1
ChangeToDeclineInvitation	1	1
ChangeToProposeNewTime	1	1
ChangeToTentativeAcceptInvitation	1	1
ChangeWorkingTime	1	1
ChangesDiscardAndRefresh	1	1
CharacterBorder	1	1
CharacterCodeToggle	1	1
CharacterShading	1	1
CharacterSpacingGallery	1	1
Chart3DBarChart	1	1
Chart3DColumnChart	1	1
Chart3DConeChart	1	1
Chart3DPieChart	1	1
Chart3DView	1	1
ChartAreaChart	1	1
ChartAxes	1	1
ChartAxesGallery	0	1
ChartAxisTitles	1	1
ChartAxisTitlesGallery	0	1
ChartChangeDataLabelShapeGallery	0	1
ChartChangeDataLabelShapesGallery	0	1
ChartChangeType	1	1
ChartColorsGallery	0	1
ChartDataLabel	1	1
ChartDataPane	0	1
ChartDataTable	1	1
ChartDebugInto	1	0
ChartDepthAxis	1	1
ChartDepthAxisTitle	1	1
ChartDepthGridlines	1	1
ChartDraftModeToggle	1	0
ChartEditDataSource	1	1
ChartEditText	0	1
ChartElementSelector	1	1
ChartErrorBars	1	1
ChartExitEditText	0	1
ChartFloor	1	1
ChartFormatAxis	1	1
ChartFormatAxisTitle	1	1
ChartFormatBackWall	1	1
ChartFormatChartArea	1	1
ChartFormatChartTitle	1	1
ChartFormatDataLabel	1	1
ChartFormatDataLabels	1	1
ChartFormatDataPoint	1	1
ChartFormatDataSeries	1	1
ChartFormatDataTable	1	1
ChartFormatDisplayUnit	1	1
ChartFormatDownBars	1	1
ChartFormatDropLines	1	1
ChartFormatErrorBars	1	1
ChartFormatFloor	1	1
ChartFormatGridlines	1	1
ChartFormatHighLowLine	1	1
ChartFormatLeaderLines	1	1
ChartFormatLegend	1	1
ChartFormatLegendEntry	1	1
ChartFormatPlotArea	1	1
ChartFormatSelection	1	1
ChartFormatSeriesLine	1	1
ChartFormatSideWall	1	1
ChartFormatTrendline	1	1
ChartFormatTrendlineLabel	1	1
ChartFormatUpBars	1	1
ChartFormatWalls	1	1
ChartGridlines	1	1
ChartGridlinesGallery	0	1
ChartInsert	1	1
ChartInsertGalleryNew	0	1
ChartLaunchAddElementCallout	0	1
ChartLaunchDataLayoutCallout	0	1
ChartLayoutGallery	1	1
ChartLegend	1	1
ChartLines	1	1
ChartMoreElement	1	1
ChartMostRecentlyUsed	0	1
ChartNavDrillDown	0	1
ChartPlacement	1	1
ChartPlotArea	1	1
ChartPrimaryHorizontalAxis	1	1
ChartPrimaryHorizontalAxisTitle	1	1
ChartPrimaryHorizontalGridlines	1	1
ChartPrimaryVerticalAxis	1	1
ChartPrimaryVerticalAxisTitle	1	1
ChartPrimaryVerticalGridlines	1	1
ChartQuickExplore	0	1
ChartQuickLayout59	1	1
ChartRadarChart	1	1
ChartRefresh	1	1
ChartResetToMatchStyle	1	1
ChartRotationOptionsDialog	0	1
ChartSaveTemplates	1	1
ChartSecondaryHorizontalAxis	1	1
ChartSecondaryHorizontalAxisTitle	1	1
ChartSecondaryHorizontalGridlines	1	1
ChartSecondaryVerticalAxis	1	1
