idMso	Exists in Office Excel 2010	Type in Office Excel 2010	Label in Office Excel 2010	Exists in Office Excel 2013	Type in Office Excel 2013	Label in Office Excel 2013
ChartTypeXYScatterInsertGallery	1	gallery	Scatter	1	gallery	"Insert Scatter (X, Y) or Bubble Chart"
ChartUpDownBars	1	gallery	Up/Down Bars	1	gallery	Up/Down Bars
ChartUpDownBarsOptionsDialog	1	button	More Up/Down Bars Options	1	button	More Up/Down Bars Options
ChartWall	1	gallery	Chart Wall	1	gallery	Chart Wall
ChartWallOptionsDialog	1	button	More Walls Options	1	button	More Walls Options
CheckForUpdates	1	button	Check for Updates	1	button	Check for Updates
CircularReferences	1	gallery	Circular References	1	gallery	Circular References
ClearAll	1	button	Clear All	1	button	Clear All
ClearComments	1	button	Clear Comments	1	button	Clear Comments
ClearContents	1	button	Clear Contents	1	button	Clear Contents
ClearFormats	1	button	Clear Formats	1	button	Clear Formats
ClearHyperlinks	1	button	Clear Hyperlinks	0		
ClearMenu	1	menu	Clear	1	menu	Clear
ClearSelectedSparklineGroups	1	button	Clear Selected Sparkline Groups	0		
ClearSelectedSparklines	1	button	Clear Selected Sparklines	0		
ClearSparklineMenu	1	splitButton	Clear	0		
ClipArtInsert	1	toggleButton	Clip Art Pane	1	toggleButton	Clip Art
ClipArtInsertDialog	0			1	button	Online Pictures
CloseBackgroundRemoval	1	button	Close Background Removal	0		
ClosePath	1	toggleButton	Close Path	1	toggleButton	Close Path
CodeEdit	1	button	Code	1	button	Code
ColonSign	1	button	Colon	1	button	Colon
ColorPickerSparkline	1	gallery	Sparkline Color	0		
ColorPickerSparklineFirstPoint	1	gallery	First Point	0		
ColorPickerSparklineHighPoint	1	gallery	High Point	0		
ColorPickerSparklineLastPoint	1	gallery	Last Point	0		
ColorPickerSparklineLowPoint	1	gallery	Low Point	0		
ColorPickerSparklineMarker	1	gallery	Markers	0		
ColorPickerSparklineNegativePoint	1	gallery	Negative Points	0		
ColumnWidth	1	button	Column Width	1	button	Column Width
ColumnWidthAutoFit	1	button	AutoFit Column Width	1	button	AutoFit Column Width
ColumnWidthDefault	1	button	Default Width	1	button	Default Width
ColumnsHide	1	button	Hide Columns	1	button	Hide Columns
ColumnsUnhide	1	button	Unhide Columns	1	button	Unhide Columns
ComAddInsDialog	1	button	COM Add-Ins	1	button	COM Add-Ins
CombineCharacters	1	toggleButton	Yoko-Gumi	1	toggleButton	Yoko-Gumi
CommaSign	1	button	Comma	1	button	Comma
CommaStyle	1	button	Comma Style	1	button	Comma Style
CompareAndMergeWorkbooks	1	button	Compare and Merge Workbooks	1	button	Compare and Merge Workbooks
